"Partie";"Nom de la section";"Champ";"Type";"Traduction"
"contenu";;"propopdo_id";"text";"Propopdo.id"
"contenu";;"propopdo_motifpdo";"text";"Motif de la PDO"
"contenu";;"propopdo_typepdo_id";"text";"Type de dossier"
"contenu";;"propopdo_typenotifpdo_id";"text";"Propopdo.typenotifpdo_id"
"contenu";;"propopdo_datereceptionpdo";"date";"Date de réception de la PDO"
"contenu";;"propopdo_originepdo_id";"text";"Origine de la PDO"
"contenu";;"propopdo_choixpdo";"text";"Propopdo.choixpdo"
"contenu";;"propopdo_dateenvoiop";"text";"Propopdo.dateenvoiop"
"contenu";;"propopdo_daterevision";"text";"Propopdo.daterevision"
"contenu";;"propopdo_dateecheance";"text";"Propopdo.dateecheance"
"contenu";;"propopdo_decision";"text";"Propopdo.decision"
"contenu";;"propopdo_suivi";"text";"Propopdo.suivi"
"contenu";;"propopdo_autres";"text";"Propopdo.autres"
"contenu";;"propopdo_referent_id";"text";"Propopdo.referent_id"
"contenu";;"propopdo_nonadmis";"text";"Propopdo.nonadmis"
"contenu";;"propopdo_categoriegeneral";"text";"Métiers ( général )"
"contenu";;"propopdo_categoriedetail";"text";"Métiers ( détaillé )"
"contenu";;"propopdo_personne_id";"text";"Propopdo.personne_id"
"contenu";;"propopdo_user_id";"text";"Gestionnaire du dossier (instructeur en charge du dossier)"
"contenu";;"propopdo_structurereferente_id";"text";"Structure référente traitant le dossier"
"contenu";;"propopdo_iscomplet";"text";"Dossier complet ?"
"contenu";;"propopdo_isdecisionop";"text";"Propopdo.isdecisionop"
"contenu";;"propopdo_decisionop";"text";"Propopdo.decisionop"
"contenu";;"propopdo_datedecisionop";"text";"Date transimission à l'OP"
"contenu";;"propopdo_observationoop";"text";"Propopdo.observationoop"
"contenu";;"propopdo_etatdossierpdo";"text";"Etat du dossier"
"contenu";;"propopdo_serviceinstructeur_id";"text";"Service instructeur"
"contenu";;"propopdo_created_time";"text";
"contenu";;"propopdo_created";"date";"Propopdo.created"
"contenu";;"propopdo_modified_time";"text";
"contenu";;"propopdo_modified";"date";"Propopdo.modified"
"contenu";;"propopdo_orgpayeur";"text";"Organisme payeur"
"contenu";;"propopdo_haspiece";"text";"Pièce jointe"
"contenu";;"personne_id";"text";"Personne"
"contenu";;"personne_foyer_id";"text";"Personne.foyer_id"
"contenu";;"personne_qual";"text";"Civilité"
"contenu";;"personne_nom";"text";"Nom"
"contenu";;"personne_prenom";"text";"Prénom"
"contenu";;"personne_nomnai";"text";"Nom de naissance"
"contenu";;"personne_prenom2";"text";"2ème prénom"
"contenu";;"personne_prenom3";"text";"3ème prénom"
"contenu";;"personne_nomcomnai";"text";"Commune de naissance"
"contenu";;"personne_dtnai";"date";"Date de naissance"
"contenu";;"personne_rgnai";"text";"Rang naissance"
"contenu";;"personne_typedtnai";"text";"Type date de naissance"
"contenu";;"personne_nir";"text";"NIR"
"contenu";;"personne_topvalec";"text";"Certification de l'état civil de la personne"
"contenu";;"personne_sexe";"text";"Sexe"
"contenu";;"personne_nati";"text";"Nationalité"
"contenu";;"personne_dtnati";"text";"Date Nationalité"
"contenu";;"personne_pieecpres";"text";"Pièce d'état civil présentée"
"contenu";;"personne_idassedic";"text";"N° identifiant Pôle Emploi"
"contenu";;"personne_numagenpoleemploi";"text";"Personne.numagenpoleemploi"
"contenu";;"personne_dtinscpoleemploi";"text";"Personne.dtinscpoleemploi"
"contenu";;"personne_numfixe";"text";"N° de téléphone fixe"
"contenu";;"personne_numport";"text";"N° de téléphone portable"
"contenu";;"personne_haspiecejointe";"text";"Ajouter une pièce jointe"
"contenu";;"personne_email";"text";"Adresse mail"
"contenu";;"foyer_id";"text";"Foyer.id"
"contenu";;"foyer_dossier_id";"text";"Foyer.dossier_id"
"contenu";;"foyer_sitfam";"text";"Situation familiale"
"contenu";;"foyer_ddsitfam";"date";"Foyer.ddsitfam"
"contenu";;"foyer_typeocclog";"text";"Conditions de logement"
"contenu";;"foyer_mtvallocterr";"text";"Foyer.mtvallocterr"
"contenu";;"foyer_mtvalloclog";"text";"Foyer.mtvalloclog"
"contenu";;"foyer_contefichliairsa";"text";"Foyer.contefichliairsa"
"contenu";;"foyer_mtestrsa";"text";"Foyer.mtestrsa"
"contenu";;"foyer_raisoctieelectdom";"text";"Foyer.raisoctieelectdom"
"contenu";;"foyer_regagrifam";"text";"Foyer.regagrifam"
"contenu";;"foyer_haspiecejointe";"text";"Ajout d'une pièce supplémentaire"
"contenu";;"dossier_id";"text";"Dossier.id"
