"Partie";"Nom de la section";"Champ";"Type";"Traduction"
"contenu";"";"passagecommissionep_id";"text";"Passagecommissionep.id"
"contenu";"";"passagecommissionep_commissionep_id";"text";"Passagecommissionep.commissionep_id"
"contenu";"";"passagecommissionep_dossierep_id";"text";"Passagecommissionep.dossierep_id"
"contenu";"";"passagecommissionep_etatdossierep";"text";"État du dossier d'EP"
"contenu";"";"passagecommissionep_impressiondecision";"text";"Passagecommissionep.impressiondecision"
"contenu";"";"passagecommissionep_impressionconvocation";"date";"Passagecommissionep.impressionconvocation"
"contenu";"";"passagecommissionep_user_id";"text";"Passagecommissionep.user_id"
"contenu";"";"commissionep_id";"text";"Commissionep.id"
"contenu";"";"commissionep_identifiant";"text";"Identifiant commission"
"contenu";"";"commissionep_name";"text";"Intitulé commission"
"contenu";"";"commissionep_ep_id";"text";"Equipe dont dépend la commission"
"contenu";"";"commissionep_dateseance_time";"text";""
"contenu";"";"commissionep_dateseance";"date";"Date de la commission"
"contenu";"";"commissionep_salle";"text";"Salle"
"contenu";"";"commissionep_observations";"text";"Observations"
"contenu";"";"commissionep_lieuseance";"text";"Lieu de la commission"
"contenu";"";"commissionep_adresseseance";"text";"Adresse de la commission"
"contenu";"";"commissionep_codepostalseance";"text";"Code postal de la commission"
"contenu";"";"commissionep_villeseance";"text";"Ville de la commission"
"contenu";"";"commissionep_etatcommissionep";"text";"État de la commission d'EP"
"contenu";"";"commissionep_raisonannulation";"text";"Commissionep.raisonannulation"
"contenu";"";"commissionep_chargesuivi";"text";"Chargé(e) de suivi de la commission"
"contenu";"";"commissionep_gestionnairebat";"text";"Gestionnaire BAT de la commission"
"contenu";"";"commissionep_gestionnairebada";"text";"Gestionnaire BADA de la commission"
"contenu";"";"ep_id";"text";"Ep.id"
"contenu";"";"ep_name";"text";"Intitulé EP"
"contenu";"";"ep_identifiant";"text";"Identifiant EP"
"contenu";"";"ep_regroupementep_id";"text";"Regroupement de l'EP"
"contenu";"";"ep_adressemail";"text";"Adresse mail EP"
"contenu";"";"user_id";"text";"User.id"
"contenu";"";"user_group_id";"text";"User.group_id"
"contenu";"";"user_serviceinstructeur_id";"text";"User.serviceinstructeur_id"
"contenu";"";"user_username";"text";"Login"
"contenu";"";"user_password";"text";"User.password"
"contenu";"";"user_nom";"text";"Nom"
"contenu";"";"user_prenom";"text";"Prénom"
"contenu";"";"user_date_naissance";"text";"User.date_naissance"
"contenu";"";"user_date_deb_hab";"date";"User.date_deb_hab"
"contenu";"";"user_date_fin_hab";"date";"User.date_fin_hab"
"contenu";"";"user_numtel";"text";"User.numtel"
"contenu";"";"user_filtre_zone_geo";"text";"User.filtre_zone_geo"
"contenu";"";"user_numvoie";"text";"User.numvoie"
"contenu";"";"user_typevoie";"text";"User.typevoie"
"contenu";"";"user_nomvoie";"text";"User.nomvoie"
"contenu";"";"user_compladr";"text";"User.compladr"
