Partie;Nom de la section;Champ;Type;Traduction
contenu;;orientstruct_id;text;Orientstruct.id
contenu;;orientstruct_personne_id;text;Orientstruct.personne_id
contenu;;orientstruct_typeorient_id;text;Type d'orientation
contenu;;orientstruct_structurereferente_id;text;Structure référente
contenu;;orientstruct_propo_algo;text;Orientstruct.propo_algo
contenu;;orientstruct_valid_cg;text;Orientstruct.valid_cg
contenu;;orientstruct_date_propo;date;Date de la demande
contenu;;orientstruct_date_valid;date;Date d'orientation
contenu;;orientstruct_statut_orient;text;Statut de l'orientation
contenu;;orientstruct_date_impression;text;Orientstruct.date_impression
contenu;;orientstruct_daterelance;text;Orientstruct.daterelance
contenu;;orientstruct_statutrelance;text;Orientstruct.statutrelance
contenu;;orientstruct_date_impression_relance;text;Orientstruct.date_impression_relance
contenu;;orientstruct_referent_id;text;Orientstruct.referent_id
contenu;;orientstruct_etatorient;text;Etat de l'orientation
contenu;;orientstruct_rgorient;text;Rang de l'orientation
contenu;;orientstruct_structureorientante_id;text;Structure
contenu;;orientstruct_referentorientant_id;text;Nom du professionnel
contenu;;orientstruct_user_id;text;Orientstruct.user_id
contenu;;orientstruct_haspiecejointe;text;Ajouter une pièce jointe
contenu;;orientstruct_origine;text;Origine de l'orientation
contenu;;orientstruct_typenotification;text;Orientstruct.typenotification
contenu;;orientstruct_nbjours;text;Nombre de jours depuis l'orientation
contenu;;personne_id;text;Personne
contenu;;personne_foyer_id;text;Personne.foyer_id
contenu;;personne_qual;text;Civilité
contenu;;personne_nom;text;Nom
contenu;;personne_prenom;text;Prénom
contenu;;personne_nomnai;text;Nom de naissance
contenu;;personne_prenom2;text;2ème prénom
contenu;;personne_prenom3;text;3ème prénom
contenu;;personne_nomcomnai;text;Commune de naissance
contenu;;personne_dtnai;date;Date de naissance
contenu;;personne_rgnai;text;Rang naissance
contenu;;personne_typedtnai;text;Type date de naissance
contenu;;personne_nir;text;NIR
contenu;;personne_topvalec;text;Certification de l'état civil de la personne
contenu;;personne_sexe;text;Sexe
contenu;;personne_nati;text;Nationalité
contenu;;personne_dtnati;text;Date Nationalité
contenu;;personne_pieecpres;text;Pièce d'état civil présentée
contenu;;personne_idassedic;text;N° identifiant Pôle Emploi
contenu;;personne_numagenpoleemploi;text;Personne.numagenpoleemploi
contenu;;personne_dtinscpoleemploi;text;Personne.dtinscpoleemploi
contenu;;personne_numfixe;text;N° de téléphone fixe
contenu;;personne_numport;text;N° de téléphone portable
contenu;;personne_haspiecejointe;text;Ajouter une pièce jointe
contenu;;personne_email;text;Adresse mail
contenu;;personne_nom_complet;text;Nom de la personne
contenu;;personne_nom_complet_court;text;Personne.nom_complet_court
contenu;;personne_age;text;Personne.age
contenu;;typeorient_id;text;Typeorient.id
contenu;;typeorient_parentid;text;Typeorient.parentid
contenu;;typeorient_lib_type_orient;text;Type d'orientation
contenu;;typeorient_modele_notif;text;Modèle de notification
contenu;;typeorient_modele_notif_cohorte;text;Modèle de notification pour les cohortes
contenu;;typeorient_actif;text;Typeorient.actif
contenu;;structurereferente_id;text;Structurereferente.id
contenu;;structurereferente_typeorient_id;text;Structurereferente.typeorient_id
contenu;;structurereferente_lib_struc;text;Type de structure
contenu;;structurereferente_num_voie;text;Structurereferente.num_voie
contenu;;structurereferente_type_voie;text;Structurereferente.type_voie
contenu;;structurereferente_nom_voie;text;Structurereferente.nom_voie
contenu;;structurereferente_code_postal;text;Structurereferente.code_postal
contenu;;structurereferente_ville;text;Ville
contenu;;structurereferente_code_insee;text;Structurereferente.code_insee
contenu;;structurereferente_filtre_zone_geo;text;Structurereferente.filtre_zone_geo
contenu;;structurereferente_contratengagement;text;Gestion des CERs
contenu;;structurereferente_apre;text;Gestion des APREs
contenu;;structurereferente_orientation;text;Structurereferente.orientation
contenu;;structurereferente_pdo;text;Structurereferente.pdo
contenu;;structurereferente_numtel;text;Structurereferente.numtel
contenu;;structurereferente_actif;text;Structurereferente.actif
contenu;;structurereferente_typestructure;text;Structurereferente.typestructure
contenu;;structurereferente_cui;text;Gestion des CUIs
contenu;;referent_id;text;Referent.id
contenu;;referent_structurereferente_id;text;Referent.structurereferente_id
contenu;;referent_nom;text;Nom
contenu;;referent_prenom;text;Prénom
contenu;;referent_numero_poste;text;N° téléphone
contenu;;referent_email;text;Email
contenu;;referent_qual;text;Civilité
contenu;;referent_fonction;text;Fonction
contenu;;referent_actif;text;Actif
contenu;;referent_datecloture;date;Date de clôture
contenu;;referent_nom_complet;text;Nom du prescripteur
contenu;;referent_nom_complet_court;text;Referent.nom_complet_court
contenu;;user_id;text;User.id
contenu;;user_group_id;text;User.group_id
contenu;;user_serviceinstructeur_id;text;User.serviceinstructeur_id
contenu;;user_username;text;Login
contenu;;user_password;text;User.password
contenu;;user_nom;text;Nom
contenu;;user_prenom;text;Prénom
