Code;Intitule
111;Services aux personnes
112;Services aux entreprises et collectivités
113;Sécurité et surveillance
121;Services administratifs (comptabilité)
122;Services commerciaux (banque)
131;Hôtellerie
132;Restauration
133;café
141;Distribution
142;Vente
143;Vente (force de)
211;Arts
212;Spectacle
221;Enseignement
222;Formation
231;Social et culturel
232;Social et emploi
241;Santé para-médical
242;Santé medico-technique
243;Santé appareillage et réeducation
311;Santé praticiens
312;Santé praticiens médico techniques
321;Gestion administrative (cadres)
322;Information et communication
323;Informatique
331;Gestion commerciale (cadres)
332;Banque
333;Dirigeants
411;Agriculture
412;Pêche
421;Bâtiment (gros ½uvre) et travaux publics
422;Bâtiment (2nd ½uvre)
431;Transports (Personnes ou marchandises)
432;Transports (engins de man½uvre)
433;Logistique
434;Transport (personnel ou accompagnement)
441;Construction mécanique et travail des métaux
442;Construction éléctrique et éléctronique
443;Construction mécanique
451;Industries chimiques de production d''energie et agroalimentaire
452;Metallurgie et materiaux
453;Industrie lourde du bois et du papier carton
454;Industries de process (fonctions transverses)
461;Industries des matériaux souples (textiles)
462;Industries graphiques
463;Industrie de l''ameublement et du bois
471;Artisanat (alimentation)
472;Artisanat (habillement)
473;Artisanat (travail des materiaux)
474;Artisanat (divers)
511;Industries de fabrication (encadrement)
512;Industries de fabrication (maintenance)
521;Industries : études
522;Industries : organisation
523;Industrie : installations et maintenance
531;Industries : études
532;Industries : organisation
533;Industries : organisation
611;Agriculture et pêche (techniciens et cadres)
612;Bâtiment
613;Logistique et transports (cadres)
000;Aucun
