"Partie";"Nom de la section";"Champ";"Type";"Traduction"
"contenu";"";"actioncandidatpersonne_id";"text";"ActioncandidatPersonne.id"
"contenu";"";"actioncandidatpersonne_personne_id";"text";"ActioncandidatPersonne.personne_id"
"contenu";"";"actioncandidatpersonne_actioncandidat_id";"text";"Action engagée"
"contenu";"";"actioncandidatpersonne_referent_id";"text";"Nom du prescripteur"
"contenu";"";"actioncandidatpersonne_ddaction";"date";"ActioncandidatPersonne.ddaction"
"contenu";"";"actioncandidatpersonne_dfaction";"text";"ActioncandidatPersonne.dfaction"
"contenu";"";"actioncandidatpersonne_motifdemande";"text";"Motif de la demande"
"contenu";"";"actioncandidatpersonne_enattente";"text";"ActioncandidatPersonne.enattente"
"contenu";"";"actioncandidatpersonne_datesignature";"date";"Date de la signature"
"contenu";"";"actioncandidatpersonne_bilanvenu";"text";"La personne est-elle venue ?"
"contenu";"";"actioncandidatpersonne_bilanretenu";"text";"La personne a-t-elle été retenue ?"
"contenu";"";"actioncandidatpersonne_infocomplementaire";"text";"Informations complémentaires"
"contenu";"";"actioncandidatpersonne_datebilan";"text";"Date du bilan d'accueil"
"contenu";"";"actioncandidatpersonne_rendezvouspartenaire";"text";"Rendez-vous prévu avec le partenaire ?"
"contenu";"";"actioncandidatpersonne_mobile";"text";"Mobilite ?"
"contenu";"";"actioncandidatpersonne_naturemobile";"text";"Nature de la mobilité"
"contenu";"";"actioncandidatpersonne_typemobile";"text";"Type de mobilité"
"contenu";"";"actioncandidatpersonne_bilanrecu";"text";"ActioncandidatPersonne.bilanrecu"
"contenu";"";"actioncandidatpersonne_daterecu";"text";"ActioncandidatPersonne.daterecu"
"contenu";"";"actioncandidatpersonne_personnerecu";"text";"ActioncandidatPersonne.personnerecu"
"contenu";"";"actioncandidatpersonne_pieceallocataire";"text";"ActioncandidatPersonne.pieceallocataire"
"contenu";"";"actioncandidatpersonne_autrepiece";"text";"ActioncandidatPersonne.autrepiece"
"contenu";"";"actioncandidatpersonne_precisionmotif";"text";"ActioncandidatPersonne.precisionmotif"
"contenu";"";"actioncandidatpersonne_presencecontrat";"text";"ActioncandidatPersonne.presencecontrat"
"contenu";"";"actioncandidatpersonne_integrationaction";"text";"ActioncandidatPersonne.integrationaction"
"contenu";"";"actioncandidatpersonne_horairerdvpartenaire";"text";"Date et heure du rendez-vous prévu avec le partenaire"
"contenu";"";"actioncandidatpersonne_sortiele";"text";"Sortie le"
"contenu";"";"actioncandidatpersonne_motifsortie_id";"text";"ActioncandidatPersonne.motifsortie_id"
"contenu";"";"actioncandidatpersonne_positionfiche";"text";"Position de la fiche"
"contenu";"";"actioncandidatpersonne_issortie";"text";"ActioncandidatPersonne.issortie"
"contenu";"";"actioncandidatpersonne_haspiecejointe";"text";"Ajouter une pièce jointe"
"contenu";"";"actioncandidatpersonne_motifannulation";"text";"Raison de l'annulation"
"contenu";"";"actioncandidatpersonne_lieurdvpartenaire";"text";"ActioncandidatPersonne.lieurdvpartenaire"
"contenu";"";"actioncandidatpersonne_personnerdvpartenaire";"text";"ActioncandidatPersonne.personnerdvpartenaire"
"contenu";"";"actioncandidatpersonne_poursuitesuivicg";"text";"ActioncandidatPersonne.poursuitesuivicg"
"contenu";"";"actioncandidatpersonne_formationregion";"text";"Nom de la formation"
"contenu";"";"actioncandidatpersonne_progfichecandidature66_id";"text";"ActioncandidatPersonne.progfichecandidature66_id"
"contenu";"";"actioncandidatpersonne_nomprestataire";"text";"ActioncandidatPersonne.nomprestataire"
"contenu";"";"actioncandidat_id";"text";"Actioncandidat.id"
"contenu";"";"actioncandidat_name";"text";"Intitulé de l'action"
"contenu";"";"actioncandidat_themecode";"text";"Thème de l'action"
"contenu";"";"actioncandidat_codefamille";"text";"Code famille"
"contenu";"";"actioncandidat_numcodefamille";"text";"Numéro du code famille"
"contenu";"";"actioncandidat_contractualisation";"text";"Contractualisation"
"contenu";"";"actioncandidat_lieuaction";"text";"Ville"
"contenu";"";"actioncandidat_cantonaction";"text";"Canton"
"contenu";"";"actioncandidat_ddaction";"date";"Début de l'action"
"contenu";"";"actioncandidat_dfaction";"date";"Fin de l'action"
"contenu";"";"actioncandidat_nbpostedispo";"text";"Nombre de postes disponibles"
"contenu";"";"actioncandidat_nbposterestant";"text";"Nombre de postes restants"
"contenu";"";"actioncandidat_correspondantaction";"text";"Correspondant d'action"
"contenu";"";"actioncandidat_referent_id";"text";"Nom du correspondant de l'action"
"contenu";"";"actioncandidat_hasfichecandidature";"text";"Présence fiche de candidature"
"contenu";"";"actioncandidat_contactpartenaire_id";"text";"Contact lié à cette action ?"
"contenu";"";"actioncandidat_chargeinsertion_id";"text";"Chargé d'insertion"
"contenu";"";"actioncandidat_secretaire_id";"text";"Secrétaire"
"contenu";"";"actioncandidat_typeaction";"text";"Données de l'action"
"contenu";"";"actioncandidat_nbheuredispo";"text";"Nombre d'heures disponibles"
"contenu";"";"actioncandidat_nbheurerestante";"text";"Nombre d'heures restantes"
"contenu";"";"actioncandidat_actif";"text";"Actioncandidat.actif"
"contenu";"";"actioncandidat_modele_document";"text";"Modèle de notification"
"contenu";"";"actioncandidat_haspiecejointe";"text";"Ajouter une pièce jointe"
"contenu";"";"actioncandidat_contractualisation93";"text";"Contractualisation"
"contenu";"";"actioncandidat_emailprestataire";"text";"Email partenaire/prestataire"
"contenu";"";"actioncandidat_codeaction";"text";"Code de l'action"
"contenu";"";"contactpartenaire_id";"text";"Contactpartenaire.id"
"contenu";"";"contactpartenaire_qual";"text";"Civilité du contact"
"contenu";"";"contactpartenaire_nom";"text";"Nom du contact"
"contenu";"";"contactpartenaire_prenom";"text";"Prénom du contact"
"contenu";"";"contactpartenaire_numtel";"text";"Numéro de téléphone du contact"
"contenu";"";"contactpartenaire_email";"text";"Email du contact"
"contenu";"";"contactpartenaire_partenaire_id";"text";"Partenaire lié"
"contenu";"";"contactpartenaire_numfax";"text";"Numéro de fax"
"contenu";"";"partenaire_id";"text";"Partenaire.id"
"contenu";"";"partenaire_libstruc";"text";"Libellé du partenaire"
"contenu";"";"partenaire_numvoie";"text";"Numéro de la voie"
"contenu";"";"partenaire_typevoie";"text";"Type de voie"
"contenu";"";"partenaire_nomvoie";"text";"Nom de la voie"
"contenu";"";"partenaire_compladr";"text";"Complément d'adresse"
"contenu";"";"partenaire_numtel";"text";"Numéro de téléphone du partenaire"
"contenu";"";"partenaire_numfax";"text";"Numéro de fax du partenaire"
"contenu";"";"partenaire_email";"text";"Email du partenaire"
"contenu";"";"partenaire_codepostal";"text";"Code postal"
"contenu";"";"partenaire_ville";"text";"Ville"
"contenu";"";"partenaire_codepartenaire";"text";"Code partenaire"
"contenu";"";"partenaire_iscui";"text";"Partenaire devant apparaître dans les CUIs ?"
"contenu";"";"partenaire_canton";"text";"Canton"
"contenu";"";"partenaire_secteuractivitepartenaire_id";"text";"Secteur d'activité"
"contenu";"";"partenaire_statut";"text";"Statut"
"contenu";"";"partenaire_nomtiturib";"text";"Nom du titulaire du RIB"
"contenu";"";"partenaire_codeban";"text";"Code banque"
"contenu";"";"partenaire_guiban";"text";"Code guichet"
"contenu";"";"partenaire_numcompt";"text";"Numéro de compte"
"contenu";"";"partenaire_nometaban";"text";"Nom de l'établissement bancaire"
"contenu";"";"partenaire_clerib";"text";"Clé RIB"
"contenu";"";"partenaire_orgrecouvcotis";"text";"Organisme de recouvrement des cotisations sociales"
"contenu";"";"partenaire_siret";"text";"N° SIRET"
"contenu";"";"partenaire_raisonsocialepartenairecui66_id";"text";"Raison sociale"
"contenu";"";"partenaire_president";"text";"Président"
"contenu";"";"partenaire_adressepresident";"text";"Adresse du président"
"contenu";"";"partenaire_directeur";"text";"Directeur"
"contenu";"";"partenaire_adressedirecteur";"text";"Adresse du directeur"
"contenu";"";"contratinsertion_id";"text";"Contratinsertion.id"
