"Partie";"Nom de la section";"Champ";"Type";"Traduction"
"contenu";;"dossierep_id";"text";"Dossierep.id"
"contenu";;"dossierep_personne_id";"text";"Dossierep.personne_id"
"contenu";;"dossierep_themeep";"text";"Thème du dossier"
"contenu";;"dossierep_created_time";"text";
"contenu";;"dossierep_created";"date";"Date de création du dossier"
"contenu";;"dossierep_modified_time";"text";
"contenu";;"dossierep_modified";"date";"Dossierep.modified"
"contenu";;"dossierep_anonymiser";"text";"Dossierep.anonymiser"
"contenu";;"personne_id";"text";"Personne"
"contenu";;"personne_foyer_id";"text";"Personne.foyer_id"
"contenu";;"personne_qual";"text";"Civilité"
"contenu";;"personne_nom";"text";"Nom"
"contenu";;"personne_prenom";"text";"Prénom"
"contenu";;"personne_nomnai";"text";"Nom de naissance"
"contenu";;"personne_prenom2";"text";"2ème prénom"
"contenu";;"personne_prenom3";"text";"3ème prénom"
"contenu";;"personne_nomcomnai";"text";"Commune de naissance"
"contenu";;"personne_dtnai";"date";"Date de naissance"
"contenu";;"personne_rgnai";"text";"Rang naissance"
"contenu";;"personne_typedtnai";"text";"Type date de naissance"
"contenu";;"personne_nir";"text";"NIR"
"contenu";;"personne_topvalec";"text";"Certification de l'état civil de la personne"
"contenu";;"personne_sexe";"text";"Sexe"
"contenu";;"personne_nati";"text";"Nationalité"
"contenu";;"personne_dtnati";"date";"Date Nationalité"
"contenu";;"personne_pieecpres";"text";"Pièce d'état civil présentée"
"contenu";;"personne_idassedic";"text";"N° identifiant Pôle Emploi"
"contenu";;"personne_numagenpoleemploi";"text";"Personne.numagenpoleemploi"
"contenu";;"personne_dtinscpoleemploi";"text";"Personne.dtinscpoleemploi"
"contenu";;"personne_numfixe";"text";"N° de téléphone fixe"
"contenu";;"personne_numport";"text";"N° de téléphone portable"
"contenu";;"personne_age";"text";"Personne.age"
"contenu";;"dossier_matricule";"text";"N° CAF/MSA"
"contenu";;"dossier_dtdemrsa";"date";"Date de demande RSA"
"contenu";;"dossier_dtdemrsaactuelle";"date";"Dossier.dtdemrsaactuelle"
"contenu";;"foyer_sitfam";"text";"Situation familiale"
"contenu";;"foyer_nbenfants";"text";"Foyer.nbenfants"
"contenu";;"adresse_numvoie";"text";"Numéro de voie"
"contenu";;"adresse_libtypevoie";"text";"Type de voie"
"contenu";;"adresse_nomvoie";"text";"Nom de voie"
"contenu";;"adresse_compladr";"text";"Complément d'adresse"
"contenu";;"adresse_nomcom";"text";"Nom de commune"
"contenu";;"adresse_numcom";"text";"Numéro de commune sens INSEE"
"contenu";;"adresse_codepos";"text";"Code postal"
"contenu";;"serviceinstructeur_lib_service";"text";"Service instructeur"
"contenu";;"orientstruct_date_valid";"date";"Date d'orientation"
"contenu";;"historiqueetatpe_inscritpe";"text";"Historiqueetatpe.inscritpe"
"contenu";;"dossiercaf_ddratdos";"date";"Date début rattachement du dossier"
"contenu";;"commissionep_dateseance_time";"text";
"contenu";;"commissionep_dateseance";"date";"Date de la commission"
"contenu";;"commissionep_salle";"text";"Salle"
"contenu";;"commissionep_lieuseance";"text";"Lieu de la commission"
"contenu";;"commissionep_adresseseance";"text";"Adresse de la commission"
"contenu";;"commissionep_codepostalseance";"text";"Code postal de la commission"
"contenu";;"commissionep_villeseance";"text";"Ville de la commission"
"contenu";;"nonrespectsanctionep93_origine";"text";"Origine"
"contenu";;"nonrespectsanctionep93_rgpassage";"text";"Rang passage en EP"
"contenu";;"relance1_dateimpression";"text";"Relance1.dateimpression"
"contenu";;"relance2_dateimpression";"text";"Relance2.dateimpression"
"contenu";;"passage1_impressionconvocation";"date";"Passage1.impressionconvocation"
"contenu";;"decision1ep_decision";"text";"Decision1ep.decision"
"contenu";;"decision1ep_commentaire";"text";"Decision1ep.commentaire"
"contenu";;"decision1cg_decision";"text";"Decision1cg.decision"
"contenu";;"decision1cg_commentaire";"text";"Decision1cg.commentaire"
"contenu";;"passage2_impressionconvocation";"text";"Passage2.impressionconvocation"
"contenu";;"decision2ep_decision";"text";"Decision2ep.decision"
"contenu";;"decision2ep_commentaire";"text";"Decision2ep.commentaire"
"contenu";;"decision2cg_decision";"text";"Decision2cg.decision"
"contenu";;"decision2cg_commentaire";"text";"Decision2cg.commentaire"
"contenu";;"passage3_impressionconvocation";"text";"Passage3.impressionconvocation"
"contenu";;"decision3ep_decision";"text";"Decision3ep.decision"
"contenu";;"decision3ep_commentaire";"text";"Decision3ep.commentaire"
"contenu";;"decision3cg_decision";"text";"Decision3cg.decision"
"contenu";;"decision3cg_commentaire";"text";"Decision3cg.commentaire"
"contenu";;"structurereferente_lib_struc";"text";"Type de structure"
"contenu";;"dsp_natlog";"text";"Vous habitez dans un logement de type :"
"contenu";;"dsp_nivetu";"text";"Niveau d'étude ?"
"contenu";;"radiationpe_date";"date";"Radiationpe.date"
"contenu";;"radiationpe_etat";"text";"Radiationpe.etat"
"contenu";;"radiationpe_code";"text";"Radiationpe.code"
"contenu";;"radiationpe_motif";"text";"Radiationpe.motif"
"contenu";;"modeleodt_path";"text";
