"Partie";"Nom de la section";"Champ";"Type";"Traduction"
"contenu";"";"apre_id";"text";"Apre.id"
"contenu";"";"apre_personne_id";"text";"Apre.personne_id"
"contenu";"";"apre_numeroapre";"text";"N° du dossier APRE "
"contenu";"";"apre_typedemandeapre";"text";"Type de demande d'APRE"
"contenu";"";"apre_datedemandeapre";"date";"Date de l'envoi de la demande au CG "
"contenu";"";"apre_naturelogement";"text";"Logement "
"contenu";"";"apre_precisionsautrelogement";"text";"Si autres, préciser "
"contenu";"";"apre_anciennetepoleemploi";"text";"Ancienneté pôle emploi "
"contenu";"";"apre_projetprofessionnel";"text";"Projet professionnel "
"contenu";"";"apre_secteurprofessionnel";"text";"Secteur professionnel en lien avec la demande "
"contenu";"";"apre_activitebeneficiaire";"text";"Activité du bénéficiaire "
"contenu";"";"apre_dateentreeemploi";"date";"Date de l'emploi prévue "
"contenu";"";"apre_typecontrat";"text";"Type de contrat"
"contenu";"";"apre_precisionsautrecontrat";"text";"Si autre, précisez"
"contenu";"";"apre_nbheurestravaillees";"text";"Nombre d'heures travaillées"
"contenu";"";"apre_nomemployeur";"text";"Nom de l'employeur"
"contenu";"";"apre_adresseemployeur";"text";"Adresse de l'employeur"
"contenu";"";"apre_quota";"text";"Apre.quota"
"contenu";"";"apre_derogation";"text";"Apre.derogation"
"contenu";"";"apre_avistechreferent";"date";"Avis technique du référent"
"contenu";"";"apre_etatdossierapre";"text";"Etat du dossier APRE"
"contenu";"";"apre_eligibiliteapre";"text";"Eligibilité de l'APRE"
"contenu";"";"apre_mtforfait";"text";"Apre.mtforfait"
"contenu";"";"apre_secteuractivite";"text";"Secteur d'activité"
"contenu";"";"apre_nbenf12";"text";"Nombre d'enfants de moins de 12 ans"
"contenu";"";"apre_statutapre";"text";"Statut de l'APRE"
"contenu";"";"apre_justificatif";"text";"Justificatif"
"contenu";"";"apre_structurereferente_id";"text";"Structure référente"
"contenu";"";"apre_referent_id";"text";"Référent lié"
"contenu";"";"apre_montantaverser";"text";"Montant à verser"
"contenu";"";"apre_nbpaiementsouhait";"text";"Nombre de paiement souhaité"
"contenu";"";"apre_montantdejaverse";"text";"Montant déjà versé"
"contenu";"";"apre_isdecision";"text";"Décision prise ?"
"contenu";"";"apre_hasfrais";"text";"Apre.hasfrais"
"contenu";"";"apre_haspiecejointe";"text";"Ajouter une pièce jointe"
"contenu";"";"apre_cessderact";"text";"Date de dernière cessation d'activité"
"contenu";"";"apre_nivetu";"text";"Niveau d'étude"
"contenu";"";"apre_isbeneficiaire";"text";"Apre.isbeneficiaire"
"contenu";"";"apre_hascer";"text";"Apre.hascer"
"contenu";"";"apre_respectdelais";"text";"Apre.respectdelais"
"contenu";"";"apre_dureecontrat";"text";"Apre.dureecontrat"
"contenu";"";"apre_dateimpressionapre";"text";"Apre.dateimpressionapre"
"contenu";"";"apre_datenotifapre";"text";"Apre.datenotifapre"
"contenu";"";"apre_istraite";"text";"Apre.istraite"
"contenu";"";"apre_istransfere";"text";"Apre.istransfere"
"contenu";"";"apre_motifannulation";"text";"Apre.motifannulation"
"contenu";"";"apre_isapre";"text";"Type formulaire"
"contenu";"";"personne_id";"text";"Personne"
"contenu";"";"personne_foyer_id";"text";"Personne.foyer_id"
"contenu";"";"personne_qual";"text";"Civilité"
"contenu";"";"personne_nom";"text";"Nom"
"contenu";"";"personne_prenom";"text";"Prénom"
"contenu";"";"personne_nomnai";"text";"Nom de naissance"
"contenu";"";"personne_prenom2";"text";"2ème prénom"
"contenu";"";"personne_prenom3";"text";"3ème prénom"
"contenu";"";"personne_nomcomnai";"text";"Commune de naissance"
"contenu";"";"personne_dtnai";"date";"Date de naissance"
"contenu";"";"personne_rgnai";"text";"Rang naissance"
"contenu";"";"personne_typedtnai";"text";"Type date de naissance"
"contenu";"";"personne_nir";"text";"NIR"
"contenu";"";"personne_topvalec";"text";"Certification de l'état civil de la personne"
"contenu";"";"personne_sexe";"text";"Sexe"
"contenu";"";"personne_nati";"text";"Nationalité"
"contenu";"";"personne_dtnati";"text";"Date Nationalité"
"contenu";"";"personne_pieecpres";"text";"Pièce d'état civil présentée"
"contenu";"";"personne_idassedic";"text";"N° identifiant Pôle Emploi"
"contenu";"";"personne_numagenpoleemploi";"text";"Numéro agence Pole emploi"
"contenu";"";"personne_dtinscpoleemploi";"text";"Date inscription Pole emploi"
"contenu";"";"personne_numfixe";"text";"N° de téléphone fixe"
"contenu";"";"personne_numport";"text";"N° de téléphone portable"
"contenu";"";"personne_haspiecejointe";"text";"Ajouter une pièce jointe"
"contenu";"";"personne_email";"text";"Adresse mail"
"contenu";"";"referent_id";"text";"Referent.id"
"contenu";"";"referent_structurereferente_id";"text";"Referent.structurereferente_id"
"contenu";"";"referent_nom";"text";"Nom"
"contenu";"";"referent_prenom";"text";"Prénom"
"contenu";"";"referent_numero_poste";"text";"N° téléphone"
"contenu";"";"referent_email";"text";"Email"
"contenu";"";"referent_qual";"text";"Civilité"
"contenu";"";"referent_fonction";"text";"Fonction"
"contenu";"";"referent_actif";"text";"Actif"
"contenu";"";"referent_datecloture";"text";"Date de clôture"
"contenu";"";"structurereferente_id";"text";"Structurereferente.id"
"contenu";"";"structurereferente_typeorient_id";"text";"Structurereferente.typeorient_id"
"contenu";"";"structurereferente_lib_struc";"text";"Type de structure"
"contenu";"";"structurereferente_num_voie";"text";"Structurereferente.num_voie"
"contenu";"";"structurereferente_type_voie";"text";"Structurereferente.type_voie"
"contenu";"";"structurereferente_nom_voie";"text";"Structurereferente.nom_voie"
"contenu";"";"structurereferente_code_postal";"text";"Structurereferente.code_postal"
"contenu";"";"structurereferente_ville";"text";"Ville"
"contenu";"";"structurereferente_code_insee";"text";"Structurereferente.code_insee"
"contenu";"";"structurereferente_filtre_zone_geo";"text";"Structurereferente.filtre_zone_geo"
"contenu";"";"structurereferente_contratengagement";"text";"Gestion des CERs"
"contenu";"";"structurereferente_apre";"text";"Gestion des APREs"
"contenu";"";"structurereferente_orientation";"text";"Structurereferente.orientation"
"contenu";"";"structurereferente_pdo";"text";"Structurereferente.pdo"
"contenu";"";"structurereferente_numtel";"text";"Structurereferente.numtel"
"contenu";"";"structurereferente_actif";"text";"Structurereferente.actif"
"contenu";"";"structurereferente_typestructure";"text";"Structurereferente.typestructure"
"contenu";"";"structurereferente_cui";"text";"Gestion des CUIs"
"contenu";"";"structurereferente_numfax";"text";"Structurereferente.numfax"
"contenu";"";"foyer_id";"text";"Foyer.id"
"contenu";"";"foyer_dossier_id";"text";"Foyer.dossier_id"
"contenu";"";"foyer_sitfam";"text";"Situation familiale"
"contenu";"";"foyer_ddsitfam";"date";"Date début situation familiale"
"contenu";"";"foyer_typeocclog";"text";"Conditions de logement"
"contenu";"";"foyer_mtvallocterr";"text";"Montant de la valeur locative du terrain non loué"
"contenu";"";"foyer_mtvalloclog";"text";"Montant de la valeur locative du logement non loué"
"contenu";"";"foyer_contefichliairsa";"text";"Contenu de la fiche de liaison"
"contenu";"";"foyer_mtestrsa";"text";"Montant estimé du droit rSa"
"contenu";"";"foyer_raisoctieelectdom";"text";"Nom de la raison sociale du Tiers ou nom d'usage de la personne"
"contenu";"";"foyer_regagrifam";"text";"Régime agricole familial"
"contenu";"";"foyer_haspiecejointe";"text";"Ajout d'une pièce supplémentaire"
"contenu";"";"foyer_nbenfants";"text";"Foyer.nbenfants"
"contenu";"";"prestation_personne_id";"text";"Prestation.personne_id"
"contenu";"";"prestation_natprest";"text";"Nature de la prestation"
"contenu";"";"prestation_rolepers";"text";"Rôle personne"
"contenu";"";"prestation_topchapers";"text";"Prestation.topchapers"
"contenu";"";"prestation_id";"text";"Prestation.id"
"contenu";"";"dossier_id";"text";"Dossier.id"
"contenu";"";"dossier_numdemrsa";"text";"N° demande RSA"
"contenu";"";"dossier_dtdemrsa";"date";"Date de demande RSA"
"contenu";"";"dossier_dtdemrmi";"date";"Date de demande RMI"
"contenu";"";"dossier_numdepinsrmi";"text";"N° du département instructeur RMI"
"contenu";"";"dossier_typeinsrmi";"text";"Type d'instructeur RMI"
"contenu";"";"dossier_numcominsrmi";"text";"N° de la commune instructeur RMI"
"contenu";"";"dossier_numagrinsrmi";"text";"N° d'agréement instructeur RMI"
"contenu";"";"dossier_numdosinsrmi";"text";"N° de dossier instructeur RMI"
"contenu";"";"dossier_numcli";"text";"N° de CLI"
"contenu";"";"dossier_numorg";"text";"N° de l'organisme"
"contenu";"";"dossier_fonorg";"text";"Organisme payeur"
"contenu";"";"dossier_matricule";"text";"N° CAF/MSA"
"contenu";"";"dossier_statudemrsa";"text";"Statut du demandeur RSA"
"contenu";"";"dossier_typeparte";"text";"Type de partenaire"
"contenu";"";"dossier_ideparte";"text";"Code d'identification du partenaire"
"contenu";"";"dossier_fonorgcedmut";"text";"Fonction de l'organisme cédant"
"contenu";"";"dossier_numorgcedmut";"text";"N° organisme cédant"
"contenu";"";"dossier_matriculeorgcedmut";"text";"Matricule chez l'organisme cédant"
"contenu";"";"dossier_ddarrmut";"text";"Date de début arrivée mutation"
"contenu";"";"dossier_codeposanchab";"text";"Code postal ancienne habitation"
"contenu";"";"dossier_fonorgprenmut";"text";"Fonction organisme prenant"
"contenu";"";"dossier_numorgprenmut";"text";"N° organisme prenant"
"contenu";"";"dossier_dddepamut";"text";"Date de début départ mutation"
"contenu";"";"dossier_detaildroitrsa_id";"text";"Dossier.detaildroitrsa_id"
"contenu";"";"dossier_avispcgdroitrsa_id";"text";"Dossier.avispcgdroitrsa_id"
"contenu";"";"dossier_organisme_id";"text";"Dossier.organisme_id"
"contenu";"";"adresse_id";"text";"Adresse.id"
"contenu";"";"adresse_numvoie";"text";"Numéro de voie"
"contenu";"";"adresse_nomvoie";"text";"Nom de voie"
"contenu";"";"adresse_complideadr";"text";"Complément identification adresse"
"contenu";"";"adresse_compladr";"text";"Complément d'adresse"
"contenu";"";"adresse_lieudist";"text";"Lieu de distribution"
"contenu";"";"adresse_codepos";"text";"Code postal"
"contenu";"";"adresse_pays";"text";"Code Pays"
"contenu";"";"adresse_canton";"text";"Code Canton"
"contenu";"";"adresse_typeres";"text";"Type de résidence"
"contenu";"";"adresse_topresetr";"text";"Résidence étranger"
"contenu";"";"adresse_foyerid";"text";"Adresse.foyerid"
"contenu";"";"adresse_libtypevoie";"text";"Type de voie"
"contenu";"";"adresse_numcom";"text";"Numéro de commune sens INSEE"
"contenu";"";"adresse_nomcom";"text";"Nom de commune"
"contenu";"";"adresse_liblig2adr";"text";"Ligne 2 - complément d'identification du destinataire"
"contenu";"";"adresse_liblig3adr";"text";"Ligne 3 - saisie libre"
"contenu";"";"adresse_liblig4adr";"text";"Ligne 4 - saisie libre"
"contenu";"";"adresse_liblig5adr";"text";"Ligne 5 - saisie libre"
"contenu";"";"adresse_liblig6adr";"text";"Ligne 6 - saisie libre"
"contenu";"";"adresse_liblig7adr";"text";"Ligne 7 - pays de destination"
"contenu";"";"formqualif_id";"text";"Formqualif.id"
"contenu";"";"formqualif_apre_id";"text";"Formqualif.apre_id"
"contenu";"";"formqualif_intituleform";"text";"Formqualif.intituleform"
"contenu";"";"formqualif_ddform";"text";"Formqualif.ddform"
"contenu";"";"formqualif_dfform";"text";"Formqualif.dfform"
"contenu";"";"formqualif_dureeform";"text";"Formqualif.dureeform"
"contenu";"";"formqualif_modevalidation";"text";"Formqualif.modevalidation"
"contenu";"";"formqualif_coutform";"text";"Formqualif.coutform"
"contenu";"";"formqualif_cofinanceurs";"text";"Formqualif.cofinanceurs"
"contenu";"";"formqualif_montantaide";"text";"Formqualif.montantaide"
"contenu";"";"formqualif_tiersprestataireapre_id";"text";"Formqualif.tiersprestataireapre_id"
"contenu";"";"formqualif_montantconfinanceurs";"text";"Formqualif.montantconfinanceurs"
"contenu";"";"formpermfimo_id";"text";"Formpermfimo.id"
"contenu";"";"formpermfimo_apre_id";"text";"Formpermfimo.apre_id"
"contenu";"";"formpermfimo_intituleform";"text";"Formpermfimo.intituleform"
"contenu";"";"formpermfimo_ddform";"text";"Formpermfimo.ddform"
"contenu";"";"formpermfimo_dfform";"text";"Formpermfimo.dfform"
"contenu";"";"formpermfimo_dureeform";"text";"Formpermfimo.dureeform"
"contenu";"";"formpermfimo_modevalidation";"text";"Formpermfimo.modevalidation"
"contenu";"";"formpermfimo_coutform";"text";"Formpermfimo.coutform"
"contenu";"";"formpermfimo_cofinanceurs";"text";"Formpermfimo.cofinanceurs"
"contenu";"";"formpermfimo_montantaide";"text";"Formpermfimo.montantaide"
"contenu";"";"formpermfimo_tiersprestataireapre_id";"text";"Formpermfimo.tiersprestataireapre_id"
"contenu";"";"formpermfimo_montantconfinanceurs";"text";"Formpermfimo.montantconfinanceurs"
"contenu";"";"actprof_id";"text";"Actprof.id"
"contenu";"";"actprof_apre_id";"text";"Actprof.apre_id"
"contenu";"";"actprof_typecontratact";"text";"Actprof.typecontratact"
"contenu";"";"actprof_ddconvention";"text";"Actprof.ddconvention"
"contenu";"";"actprof_dfconvention";"text";"Actprof.dfconvention"
"contenu";"";"actprof_intituleformation";"text";"Actprof.intituleformation"
"contenu";"";"actprof_ddform";"text";"Actprof.ddform"
"contenu";"";"actprof_dfform";"text";"Actprof.dfform"
"contenu";"";"actprof_dureeform";"text";"Actprof.dureeform"
"contenu";"";"actprof_modevalidation";"text";"Actprof.modevalidation"
"contenu";"";"actprof_coutform";"text";"Actprof.coutform"
"contenu";"";"actprof_cofinanceurs";"text";"Actprof.cofinanceurs"
"contenu";"";"actprof_montantaide";"text";"Actprof.montantaide"
"contenu";"";"actprof_tiersprestataireapre_id";"text";"Actprof.tiersprestataireapre_id"
"contenu";"";"permisb_id";"text";"Permisb.id"
"contenu";"";"permisb_apre_id";"text";"Permisb.apre_id"
"contenu";"";"permisb_code";"text";"Permisb.code"
"contenu";"";"permisb_conduite";"text";"Permisb.conduite"
"contenu";"";"permisb_dureeform";"text";"Permisb.dureeform"
"contenu";"";"permisb_montantaide";"text";"Permisb.montantaide"
"contenu";"";"permisb_tiersprestataireapre_id";"text";"Permisb.tiersprestataireapre_id"
"contenu";"";"amenaglogt_id";"text";"Amenaglogt.id"
"contenu";"";"amenaglogt_apre_id";"text";"Amenaglogt.apre_id"
"contenu";"";"amenaglogt_typeaidelogement";"text";"Amenaglogt.typeaidelogement"
"contenu";"";"amenaglogt_besoins";"text";"Amenaglogt.besoins"
"contenu";"";"amenaglogt_montantaide";"text";"Amenaglogt.montantaide"
"contenu";"";"acccreaentr_id";"text";"Acccreaentr.id"
"contenu";"";"acccreaentr_apre_id";"text";"Acccreaentr.apre_id"
"contenu";"";"acccreaentr_nacre";"text";"Acccreaentr.nacre"
"contenu";"";"acccreaentr_microcredit";"text";"Acccreaentr.microcredit"
"contenu";"";"acccreaentr_projet";"text";"Acccreaentr.projet"
"contenu";"";"acccreaentr_montantaide";"text";"Acccreaentr.montantaide"
"contenu";"";"acqmatprof_id";"text";"Acqmatprof.id"
"contenu";"";"acqmatprof_apre_id";"text";"Acqmatprof.apre_id"
"contenu";"";"acqmatprof_besoins";"text";"Acqmatprof.besoins"
"contenu";"";"acqmatprof_montantaide";"text";"Acqmatprof.montantaide"
"contenu";"";"locvehicinsert_id";"text";"Locvehicinsert.id"
"contenu";"";"locvehicinsert_apre_id";"text";"Locvehicinsert.apre_id"
"contenu";"";"locvehicinsert_societelocation";"text";"Locvehicinsert.societelocation"
"contenu";"";"locvehicinsert_dureelocation";"text";"Locvehicinsert.dureelocation"
"contenu";"";"locvehicinsert_montantaide";"text";"Locvehicinsert.montantaide"
"contenu";"";"contratinsertion_id";"text";"Contratinsertion.id"
"contenu";"";"contratinsertion_personne_id";"text";"Contratinsertion.personne_id"
"contenu";"";"contratinsertion_structurereferente_id";"text";"Nom de l'organisme de suivi"
"contenu";"";"contratinsertion_typocontrat_id";"text";"Contratinsertion.typocontrat_id"
"contenu";"";"contratinsertion_dd_ci";"date";"Date de début de contrat"
"contenu";"";"contratinsertion_df_ci";"date";"Date de fin de contrat"
"contenu";"";"contratinsertion_diplomes";"text";"Diplômes (scolaires, universitaires et/ou professionnels) + Années d'obtention (préciser si obtenu à l'étranger)"
"contenu";"";"contratinsertion_form_compl";"text";"Autres expériences, savoir, connaissances"
"contenu";"";"contratinsertion_expr_prof";"text";"Quelles expériences professionnelles avez-vous ( emploi occupé, dates, ...) ?"
"contenu";"";"contratinsertion_aut_expr_prof";"text";"Contratinsertion.aut_expr_prof"
"contenu";"";"contratinsertion_rg_ci";"text";"Rang du présent contrat "
"contenu";"";"contratinsertion_actions_prev";"text";"Avez-vous pu réaliser les actions prévues dans votre contrat précédent ? "
"contenu";"";"contratinsertion_obsta_renc";"text";"Si vous n'avez pas pu les réaliser, quels obstacles avez-vous rencontrés ? "
"contenu";"";"contratinsertion_service_soutien";"text";"Le présent contrat a été établi avec le soutien du service: (désignation, adresse, téléphone)"
"contenu";"";"contratinsertion_pers_charg_suivi";"text";"Personne chargée du suivi"
"contenu";"";"contratinsertion_objectifs_fixes";"text";"Quels objectifs vous fixez-vous pour les mois à venir"
"contenu";"";"contratinsertion_engag_object";"text";"Que prévoyez-vous de faire pour atteindre ces objectifs (démarches d'insertion dans les domaines de la santé, du logement et de la vie sociale et quotidienne, de la formation, de la recherche d'emploi,...)"
"contenu";"";"contratinsertion_sect_acti_emp";"text";"Le secteur d'activité"
"contenu";"";"contratinsertion_emp_occupe";"text";"L'emploi occupé"
