"Partie";"Nom de la section";"Champ";"Type";"Traduction"
"contenu";"";"nvorientstruct_id";"text";"NvOrientstruct.id"
"contenu";"";"nvorientstruct_personne_id";"text";"NvOrientstruct.personne_id"
"contenu";"";"nvorientstruct_typeorient_id";"text";"NvOrientstruct.typeorient_id"
"contenu";"";"nvorientstruct_structurereferente_id";"text";"NvOrientstruct.structurereferente_id"
"contenu";"";"nvorientstruct_propo_algo";"text";"NvOrientstruct.propo_algo"
"contenu";"";"nvorientstruct_valid_cg";"text";"NvOrientstruct.valid_cg"
"contenu";"";"nvorientstruct_date_propo";"text";"NvOrientstruct.date_propo"
"contenu";"";"nvorientstruct_date_valid";"date";"NvOrientstruct.date_valid"
"contenu";"";"nvorientstruct_statut_orient";"text";"NvOrientstruct.statut_orient"
"contenu";"";"nvorientstruct_date_impression";"text";"NvOrientstruct.date_impression"
"contenu";"";"nvorientstruct_daterelance";"text";"NvOrientstruct.daterelance"
"contenu";"";"nvorientstruct_statutrelance";"text";"NvOrientstruct.statutrelance"
"contenu";"";"nvorientstruct_date_impression_relance";"text";"NvOrientstruct.date_impression_relance"
"contenu";"";"nvorientstruct_referent_id";"text";"NvOrientstruct.referent_id"
"contenu";"";"nvorientstruct_etatorient";"text";"NvOrientstruct.etatorient"
"contenu";"";"nvorientstruct_rgorient";"text";"NvOrientstruct.rgorient"
"contenu";"";"nvorientstruct_structureorientante_id";"text";"NvOrientstruct.structureorientante_id"
"contenu";"";"nvorientstruct_referentorientant_id";"text";"NvOrientstruct.referentorientant_id"
"contenu";"";"nvorientstruct_user_id";"text";"NvOrientstruct.user_id"
"contenu";"";"nvorientstruct_haspiecejointe";"text";"NvOrientstruct.haspiecejointe"
"contenu";"";"nvorientstruct_origine";"text";"NvOrientstruct.origine"
"contenu";"";"nvorientstruct_typenotification";"text";"NvOrientstruct.typenotification"
"contenu";"";"nvstructurereferente_id";"text";"NvStructurereferente.id"
"contenu";"";"nvstructurereferente_typeorient_id";"text";"NvStructurereferente.typeorient_id"
"contenu";"";"nvstructurereferente_lib_struc";"text";"NvStructurereferente.lib_struc"
"contenu";"";"nvstructurereferente_num_voie";"text";"NvStructurereferente.num_voie"
"contenu";"";"nvstructurereferente_type_voie";"text";"NvStructurereferente.type_voie"
"contenu";"";"nvstructurereferente_nom_voie";"text";"NvStructurereferente.nom_voie"
"contenu";"";"nvstructurereferente_code_postal";"text";"NvStructurereferente.code_postal"
"contenu";"";"nvstructurereferente_ville";"text";"NvStructurereferente.ville"
"contenu";"";"nvstructurereferente_code_insee";"text";"NvStructurereferente.code_insee"
"contenu";"";"nvstructurereferente_filtre_zone_geo";"text";"NvStructurereferente.filtre_zone_geo"
"contenu";"";"nvstructurereferente_contratengagement";"text";"NvStructurereferente.contratengagement"
"contenu";"";"nvstructurereferente_apre";"text";"NvStructurereferente.apre"
"contenu";"";"nvstructurereferente_orientation";"text";"NvStructurereferente.orientation"
"contenu";"";"nvstructurereferente_pdo";"text";"NvStructurereferente.pdo"
"contenu";"";"nvstructurereferente_numtel";"text";"NvStructurereferente.numtel"
"contenu";"";"nvstructurereferente_actif";"text";"NvStructurereferente.actif"
"contenu";"";"nvstructurereferente_typestructure";"text";"NvStructurereferente.typestructure"
"contenu";"";"nvstructurereferente_cui";"text";"NvStructurereferente.cui"
"contenu";"";"nvstructurereferente_numfax";"text";"NvStructurereferente.numfax"
"contenu";"";"transfertpdv93_id";"text";"Transfertpdv93.id"
"contenu";"";"transfertpdv93_vx_orientstruct_id";"text";"Transfertpdv93.vx_orientstruct_id"
"contenu";"";"transfertpdv93_nv_orientstruct_id";"text";"Transfertpdv93.nv_orientstruct_id"
"contenu";"";"transfertpdv93_vx_adressefoyer_id";"text";"Transfertpdv93.vx_adressefoyer_id"
"contenu";"";"transfertpdv93_nv_adressefoyer_id";"text";"Transfertpdv93.nv_adressefoyer_id"
"contenu";"";"transfertpdv93_user_id";"text";"Transfertpdv93.user_id"
"contenu";"";"transfertpdv93_created_time";"text";"transfertpdv93_created_time"
"contenu";"";"transfertpdv93_created";"date";"Transfertpdv93.created"
